cod_ibge,nome_municipio,mort_2019,mort_2020,mort_2021,mort_2022,mort_2023,mort_total,aih_aprovadas,valor_total_reais,populacao,pib_medio_mil_reais,taxa_mort_100k,taxa_proc_100k,pib_per_capita,crescimento_mort
150220,CAPANEMA,23.0,20.0,21.0,21.0,29.0,114.0,0.0,0.0,69828,12500530.0,163.25829180271523,0.0,179018.87494987683,26.08695652173913
150230,CAPITAO POCO,25.0,42.0,38.0,43.0,42.0,190.0,0.0,0.0,54545,5966921.0,348.33623613530114,0.0,109394.46328719406,68.0
150240,CASTANHAL,54.0,89.0,47.0,60.0,69.0,319.0,0.0,0.0,205667,42836178.2,155.10509707439695,0.0,208279.29711621214,27.77777777777778
150250,CHAVES,6.0,3.0,1.0,1.0,3.0,14.0,0.0,0.0,24175,2221858.0,57.91106514994829,0.0,91907.25956566702,-50.0
150260,COLARES,7.0,2.0,9.0,4.0,5.0,27.0,0.0,0.0,12175,918568.2,221.76591375770022,0.0,75447.08008213552,-28.57142857142857
150270,CONCEICAO DO ARAGUAIA,14.0,20.0,27.0,33.0,41.0,135.0,0.0,0.0,48115,6182482.6,280.5777823963421,0.0,128493.8709342201,192.85714285714286
150275,CONCORDIA DO PARA,8.0,14.0,6.0,10.0,7.0,45.0,0.0,0.0,34236,3490655.4,131.44058885383808,0.0,101958.62250262882,-12.5
150276,CUMARU DO NORTE,3.0,1.0,4.0,4.0,2.0,14.0,0.0,0.0,14044,3508464.0,99.68669894616917,0.0,249819.42466533752,-33.33333333333333
150277,CURIONOPOLIS,17.0,4.0,17.0,21.0,12.0,71.0,0.0,0.0,17764,13294179.8,399.6847556856564,0.0,748377.6063949561,-29.411764705882355
150280,CURRALINHO,4.0,5.0,15.0,9.0,6.0,39.0,0.0,0.0,35530,2600156.6,109.76639459611597,0.0,73182.00394033211,50.0
150285,CURUA,5.0,3.0,9.0,8.0,5.0,30.0,0.0,0.0,14776,1333895.0,203.0319436924743,0.0,90274.43151055767,0.0
150290,CURUCA,16.0,11.0,14.0,12.0,22.0,75.0,0.0,0.0,41093,3315639.8,182.5128367361838,0.0,80686.24339911908,37.5
150293,DOM ELISEU,34.0,34.0,19.0,21.0,27.0,135.0,0.0,0.0,61206,8767638.0,220.56661111655723,0.0,143248.01490049995,-20.588235294117645
150295,ELDORADO DOS CARAJAS,17.0,4.0,5.0,11.0,15.0,52.0,0.0,0.0,34069,4924432.6,152.631424462121,0.0,144542.91584725116,-11.76470588235294
150300,FARO,1.0,1.0,3.0,1.0,5.0,11.0,0.0,0.0,6949,676038.8,158.29615772053532,0.0,97285.76773636494,400.0
150304,FLORESTA DO ARAGUAIA,13.0,11.0,8.0,9.0,15.0,56.0,0.0,0.0,20742,4535764.6,269.98360813807733,0.0,218675.37363802912,15.384615384615385
150307,GARRAFAO DO NORTE,1.0,4.0,6.0,13.0,12.0,36.0,0.0,0.0,26155,2591651.0,137.6409864270694,0.0,99088.166698528,1100.0
150309,GOIANESIA DO PARA,10.0,10.0,12.0,12.0,25.0,69.0,0.0,0.0,41678,4064417.6,165.55496904841883,0.0,97519.49709678967,150.0
150310,GURUPA,16.0,13.0,7.0,10.0,11.0,57.0,0.0,0.0,34127,3088742.2,167.02317812875435,0.0,90507.28748498256,-31.25
150320,IGARAPE-ACU,25.0,18.0,24.0,22.0,10.0,99.0,0.0,0.0,39234,3857219.2,252.33216088086866,0.0,98313.17734617933,-60.0
150330,IGARAPE-MIRI,19.0,11.0,8.0,29.0,17.0,84.0,0.0,0.0,63367,6423554.6,132.56111225085613,0.0,101370.65980715514,-10.526315789473683
150340,INHANGAPI,2.0,4.0,7.0,7.0,7.0,27.0,0.0,0.0,12009,1548888.8,224.83137646764928,0.0,128977.33366641686,250.0
150345,IPIXUNA DO PARA,6.0,14.0,8.0,12.0,11.0,51.0,0.0,0.0,67170,5020974.6,75.92675301473872,0.0,74750.25457793658,83.33333333333334
150350,IRITUIA,22.0,31.0,22.0,24.0,30.0,129.0,0.0,0.0,32639,2488841.4,395.2326970801802,0.0,76253.60458347376,36.36363636363637
150360,ITAITUBA,49.0,32.0,56.0,55.0,39.0,231.0,0.0,0.0,101541,26948223.0,227.49431264218393,0.0,265392.5310958135,-20.408163265306122
150370,ITUPIRANGA,23.0,7.0,15.0,10.0,17.0,72.0,0.0,0.0,53439,6856401.2,134.73306012462808,0.0,128303.32154419058,-26.08695652173913
150375,JACAREACANGA,4.0,8.0,1.0,3.0,2.0,18.0,0.0,0.0,6952,5287574.8,258.91829689298044,0.0,760583.2566168009,-50.0
150380,JACUNDA,37.0,38.0,36.0,38.0,27.0,176.0,0.0,0.0,60517,5307409.4,290.82737082142205,0.0,87701.13191334666,-27.027027027027028
150390,JURUTI,8.0,8.0,18.0,14.0,21.0,69.0,0.0,0.0,59961,10834440.8,115.07479861910241,0.0,180691.46278414302,162.5
150400,LIMOEIRO DO AJURU,2.0,12.0,9.0,9.0,8.0,40.0,0.0,0.0,29623,4315284.6,135.03021301016102,0.0,145673.44968436687,300.0
150405,MAE DO RIO,13.0,12.0,19.0,12.0,12.0,68.0,0.0,0.0,30389,3210039.2,223.76517818947644,0.0,105631.61670341242,-7.6923076923076925
150410,MAGALHAES BARATA,2.0,6.0,6.0,1.0,6.0,21.0,0.0,0.0,8598,861854.8,244.24284717376133,0.0,100238.98581065364,200.0
150420,MARABA,87.0,56.0,88.0,75.0,68.0,374.0,0.0,0.0,287664,99141729.2,130.01279270259747,0.0,344644.2001779854,-21.839080459770116
150430,MARACANA,13.0,12.0,9.0,9.0,9.0,52.0,0.0,0.0,29559,2481672.6,175.9193477451876,0.0,83956.58175175074,-30.76923076923077
150440,MARAPANIM,13.0,14.0,14.0,6.0,11.0,58.0,0.0,0.0,28563,2329044.2,203.05990267128803,0.0,81540.60147743585,-15.384615384615385
150442,MARITUBA,45.0,44.0,43.0,64.0,71.0,267.0,0.0,0.0,135812,20233037.0,196.5952934939475,0.0,148978.27143404118,57.77777777777777
150445,MEDICILANDIA,9.0,10.0,14.0,8.0,8.0,49.0,0.0,0.0,32347,8172020.2,151.48236312486475,0.0,252636.1084490061,-11.11111111111111
150450,MELGACO,3.0,4.0,2.0,4.0,2.0,15.0,0.0,0.0,28121,2098442.4,53.340919597453855,0.0,74621.89822552541,-33.33333333333333
150460,MOCAJUBA,5.0,10.0,9.0,12.0,14.0,50.0,0.0,0.0,31917,3696329.4,156.65632734906163,0.0,115810.67769527211,180.0
150470,MOJU,5.0,10.0,16.0,18.0,26.0,75.0,0.0,0.0,84251,12771611.2,89.01971489952642,0.0,151590.02504421314,420.0
150475,MOJUI DOS CAMPOS,1.0,3.0,8.0,5.0,6.0,23.0,0.0,0.0,16282,2843187.4,141.26028743397617,0.0,174621.50841419972,500.0
